categ_id (catagory),default_code,description,combined,PackID,Sequence,Length 1,Width 1,Height 1,Weight 1
Finished Goods,RPP-750-1,Prong for #750 coated,[RPP-750-1] Prong for #750 coated,,1,42,28,10,28
Finished Goods,RPP-750US,"Folding Chair Dolly with 8"" Wheels","[RPP-750US] Folding Chair Dolly with 8"" Wheels",,1,42,28,10,28
Finished Goods,RPP-770,Multi-Purpose Two Wheeler,[RPP-770] Multi-Purpose Two Wheeler,,1,46,23,15,36
Finished Goods,RPP-770US,Multi-Purpose Two Wheeler,[RPP-770US] Multi-Purpose Two Wheeler,,1,46,23,15,36
Finished Goods,RPP-800,"Book Cart with 8"" Wheels","[RPP-800] Book Cart with 8"" Wheels",,1,47,21,18,30
Finished Goods,RPP-800US,"Book Cart with 8"" Wheels","[RPP-800US] Book Cart with 8"" Wheels",,1,47,21,18,30
Finished Goods,RPP-801,#800 Handle insert replacement painted,[RPP-801] #800 Handle insert replacement painted,,1,47,21,18,30
Finished Goods,RPP-Flagship Handle,Replacement Handle for Flagship T.T.,[RPP-Flagship Handle] Replacement Handle for Flagship T.T.,,1,63,32,8,45
Finished Goods,RPP-FS1 & R1 side,Replacement side for Flagship/ 4' & 5' Round Table Toter,[RPP-FS1 & R1 side] Replacement side for Flagship/ 4' & 5' Round Table Toter,,1,63,32,8,45
Finished Goods,RPP-FS1-HS,"1"" square handle support for Flagship, Junior. 38-1/2"" x 14 ga.","[RPP-FS1-HS] 1"" square handle support for Flagship, Junior. 38-1/2"" x 14 ga.",,1,63,32,8,45
Finished Goods,RPP-JUNIOR FS2,JUNIOR Table Toter,[RPP-JUNIOR FS2] JUNIOR Table Toter,,1,63,32,8,45
Finished Goods,RPP-3828,"Panel Mover with 8"" Poly Casters; 2 Fixed and 2 Swivel and 3 Standard 26"" Uprights","[RPP-3828] Panel Mover with 8"" Poly Casters; 2 Fixed and 2 Swivel and 3 Standard 26"" Uprights",,1,42,31,6,59
Finished Goods,RPP-3828,"Panel Mover with 8"" Poly Casters; 2 Fixed and 2 Swivel and 3 Standard 26"" Uprights","[RPP-3828] Panel Mover with 8"" Poly Casters; 2 Fixed and 2 Swivel and 3 Standard 26"" Uprights",,2,16,13,10,24
Finished Goods,RPP-3828-B,"Panel Mover with 8"" Poly Casters; 2 Fixed and 2 Swivel and 3 Standard 26"" Uprights with Brakes","[RPP-3828-B] Panel Mover with 8"" Poly Casters; 2 Fixed and 2 Swivel and 3 Standard 26"" Uprights with Brakes",,1,42,31,6,59
Finished Goods,RPP-3828-B,"Panel Mover with 8"" Poly Casters; 2 Fixed and 2 Swivel and 3 Standard 26"" Uprights with Brakes","[RPP-3828-B] Panel Mover with 8"" Poly Casters; 2 Fixed and 2 Swivel and 3 Standard 26"" Uprights with Brakes",,2,16,13,10,24
Finished Goods,RPP-3843,"Panel Mover with 8"" Poly Casters, 2 Fixed and 2 Swivel; and 2 Standard Uprights","[RPP-3843] Panel Mover with 8"" Poly Casters, 2 Fixed and 2 Swivel; and 2 Standard Uprights",,1,42,31,6,50
Finished Goods,RPP-3843,"Panel Mover with 8"" Poly Casters, 2 Fixed and 2 Swivel; and 2 Standard Uprights","[RPP-3843] Panel Mover with 8"" Poly Casters, 2 Fixed and 2 Swivel; and 2 Standard Uprights",,2,16,13,10,24
Finished Goods,RPP-3843,"Panel Mover with 8"" Poly Casters, 2 Fixed and 2 Swivel; and 2 Standard Uprights","[RPP-3843] Panel Mover with 8"" Poly Casters, 2 Fixed and 2 Swivel; and 2 Standard Uprights",,3,15,13,9,15
Finished Goods,RPP-3872 - B,"Panel Mover with 5"" Poly Casters, all swivel, and 2 standard uprights with Brakes","[RPP-3872 - B] Panel Mover with 5"" Poly Casters, all swivel, and 2 standard uprights with Brakes",,1,41,32,9,67
Finished Goods,RPP-3880,"Panel Mover with 8"" Poly Casters, all swivel, and 3 standard uprights","[RPP-3880] Panel Mover with 8"" Poly Casters, all swivel, and 3 standard uprights",,1,42,31,6,59
Finished Goods,RPP-3880,"Panel Mover with 8"" Poly Casters, all swivel, and 3 standard uprights","[RPP-3880] Panel Mover with 8"" Poly Casters, all swivel, and 3 standard uprights",,2,16,13,10,24
Finished Goods,RPP-3880 - B,"Panel Mover with 8"" Poly Casters, all swivel, and 3 standard uprights with Brakes","[RPP-3880 - B] Panel Mover with 8"" Poly Casters, all swivel, and 3 standard uprights with Brakes",,1,42,31,6,59
Finished Goods,RPP-3880 - B,"Panel Mover with 8"" Poly Casters, all swivel, and 3 standard uprights with Brakes","[RPP-3880 - B] Panel Mover with 8"" Poly Casters, all swivel, and 3 standard uprights with Brakes",,2,16,13,10,24
